EmployeeID,Department,Region_Employment,Education Level,Gender,Recruitment Channel,NO_Trainings_LstYear,Age,previous_year_rating,Service Length,Awards,Avg_Training_Score,Is Promoted
65438,Sales & Marketing,7,Master's & above,f,sourcing,1,35.0,5.0,8,NO,49.0,NO
65141,Operations,22,Bachelor's,m,other,1,30.0,5.0,4,NO,60.0,NO
7513,Sales & Marketing,19,Bachelor's,m,sourcing,1,34.0,3.0,7,NO,50.0,NO
2542,Sales & Marketing,23,Bachelor's,m,other,2,39.0,1.0,10,NO,50.0,NO
48945,Technology,26,Bachelor's,m,other,1,45.0,3.0,2,NO,73.0,NO
58896,Analytics,2,Bachelor's,m,sourcing,2,31.0,3.0,7,NO,85.0,NO
20379,Operations,20,Bachelor's,f,other,1,31.0,3.0,5,NO,59.0,NO
16290,Operations,34,Master's & above,m,sourcing,1,33.0,3.0,6,NO,63.0,NO
73202,Analytics,20,Bachelor's,m,,1,28.0,4.0,5,NO,83.0,NO
28911,Sales & Marketing,1,Master's & above,m,sourcing,1,32.0,5.0,5,NO,54.0,NO
29934,Technology,23,,m,sourcing,1,30.0,,1,NO,77.0,NO
49017,Sales & Marketing,7,Bachelor's,f,sourcing,1,35.0,5.0,3,NO,50.0,YES
60051,Sales & Marketing,4,Bachelor's,m,sourcing,1,49.0,5.0,5,NO,49.0,NO
38401,Technology,29,Master's & above,m,other,2,39.0,3.0,16,NO,80.0,NO
77040,R&D,2,Master's & above,m,sourcing,1,37.0,3.0,7,NO,84.0,NO
43931,Operations,7,Bachelor's,m,,1,37.0,1.0,10,NO,60.0,NO
7152,Technology,2,Bachelor's,m,,1,38.0,3.0,5,NO,77.0,NO
9403,Sales & Marketing,31,Bachelor's,m,other,1,34.0,1.0,4,NO,51.0,NO
17436,Sales & Marketing,31,Bachelor's,m,other,1,34.0,5.0,8,NO,46.0,NO
54461,Operations,15,Bachelor's,m,,1,37.0,3.0,9,NO,59.0,NO
12067,Procurement,14,Bachelor's,m,other,1,35.0,3.0,7,NO,75.0,NO
33332,Operations,15,,m,sourcing,1,41.0,4.0,11,NO,57.0,NO
58789,Finance,11,Bachelor's,f,,1,28.0,3.0,4,NO,63.0,NO
71177,Procurement,5,Bachelor's,m,other,1,27.0,,1,NO,70.0,NO
52057,Finance,22,Master's & above,m,sourcing,2,39.0,5.0,7,NO,59.0,NO
26585,Technology,22,Bachelor's,m,other,1,27.0,5.0,3,NO,83.0,NO
